16:14:49.635 [ApplicationImpl pooled thread 204] INFO  c.b.l.BrowserStackRunExtension - junit
16:14:49.636 [ApplicationImpl pooled thread 204] INFO  com.browserstack.utils.Helpers - null
16:14:49.637 [ApplicationImpl pooled thread 204] INFO  com.browserstack.utils.Helpers - C:/Users/ricardo.a.farias/.m2/repository/com/browserstack/browserstack-java-sdk/1.16.0/browserstack-java-sdk-1.16.0.jar
16:14:49.637 [ApplicationImpl pooled thread 204] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/ricardo.a.farias/.m2/repository/com/browserstack/browserstack-java-sdk/1.16.0/browserstack-java-sdk-1.16.0.jar
16:14:49.639 [ApplicationImpl pooled thread 204] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
16:15:11.952 [ApplicationImpl pooled thread 204] INFO  c.b.l.BrowserStackRunExtension - maven
16:15:11.952 [ApplicationImpl pooled thread 204] INFO  com.browserstack.utils.Helpers - null
16:15:28.015 [ApplicationImpl pooled thread 204] INFO  c.b.l.BrowserStackRunExtension - maven
16:15:28.015 [ApplicationImpl pooled thread 204] INFO  com.browserstack.utils.Helpers - null
16:21:30.997 [ApplicationImpl pooled thread 204] INFO  c.b.l.BrowserStackRunExtension - maven
16:21:30.997 [ApplicationImpl pooled thread 204] INFO  com.browserstack.utils.Helpers - null
16:24:12.641 [ApplicationImpl pooled thread 204] INFO  c.b.l.BrowserStackRunExtension - maven
16:24:12.641 [ApplicationImpl pooled thread 204] INFO  com.browserstack.utils.Helpers - null
16:30:02.230 [ApplicationImpl pooled thread 214] INFO  c.b.l.BrowserStackRunExtension - maven
16:30:02.230 [ApplicationImpl pooled thread 214] INFO  com.browserstack.utils.Helpers - null
10:05:19.827 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
10:05:19.829 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - C:/Users/ricardo.a.farias/.m2/repository/com/browserstack/browserstack-java-sdk/1.16.0/browserstack-java-sdk-1.16.0.jar
10:05:19.829 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
10:05:19.833 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
10:05:19.833 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - C:/Users/ricardo.a.farias/.m2/repository/com/browserstack/browserstack-java-sdk/1.16.0/browserstack-java-sdk-1.16.0.jar
10:05:19.833 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
10:06:09.847 [AWT-EventQueue-0] INFO  c.b.launchers.LaunchMavenCommand - Integrate source: junit:intellij:v1.1.4
10:06:09.848 [AWT-EventQueue-0] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
10:06:09.865 [ApplicationImpl pooled thread 340] INFO  c.b.l.BrowserStackRunExtension - maven
10:06:09.865 [ApplicationImpl pooled thread 340] INFO  com.browserstack.utils.Helpers - null
10:06:19.239 [java.exe] INFO  c.b.launchers.LaunchMavenCommand - Completed maven archetype command
10:08:00.151 [ApplicationImpl pooled thread 335] INFO  c.b.l.BrowserStackRunExtension - maven
10:08:00.152 [ApplicationImpl pooled thread 335] INFO  com.browserstack.utils.Helpers - true
